x_cm,y_cm,damage
0.0,10.0,0.5402075940305281
0.0,15.0,0.4362616579165457
0.0,20.0,0.3463477818386425
0.0,25.0,0.2561625583749291
0.0,30.0,0.2149386038641411
0.0,35.0,0.183663779201163
0.0,40.0,0.1855097028449774
0.0,45.0,0.1891241814059366
0.0,50.0,0.1952818299561017
0.0,55.0,0.2113071813693731
0.0,60.0,0.1848015326264379
0.0,65.0,0.1806699414856115
0.0,70.0,0.1731401764930952
0.0,75.0,0.1556749710706147
0.0,80.0,0.1547426944495049
0.0,85.0,0.1381260020458908
0.0,90.0,0.1401580316920254
0.0,95.0,0.1232271565753494
0.0,100.0,0.1252749494907893
5.0,10.0,0.5368443741550388
5.0,15.0,0.3702707048720082
5.0,20.0,0.3927546595965637
5.0,25.0,0.2825273185302725
5.0,30.0,0.2207701259626385
5.0,35.0,0.1972780803587901
5.0,40.0,0.1726888655877294
5.0,45.0,0.1833378704754248
5.0,50.0,0.2019498456784505
5.0,55.0,0.2029598646130094
5.0,60.0,0.1927942029562664
5.0,65.0,0.1888522002767936
5.0,70.0,0.1720604980474872
5.0,75.0,0.1464384185482882
5.0,80.0,0.132863514563636
5.0,85.0,0.1270024966746942
5.0,90.0,0.1261457615112863
5.0,95.0,0.1225113783361387
5.0,100.0,0.1194257621106848
10.0,10.0,0.5663164221020931
10.0,15.0,0.4351026768371861
10.0,20.0,0.350908017470387
10.0,25.0,0.2833363698049954
10.0,30.0,0.2301397341703517
10.0,35.0,0.2165525850320308
10.0,40.0,0.1938902346696436
10.0,45.0,0.2050363945904425
10.0,50.0,0.2153226314381346
10.0,55.0,0.2019216052002453
10.0,60.0,0.204246928655623
10.0,65.0,0.1773494537875864
10.0,70.0,0.1625693916787612
10.0,75.0,0.1523316188599684
10.0,80.0,0.1358973054399377
10.0,85.0,0.129316484473384
10.0,90.0,0.123285087143313
10.0,95.0,0.1134435891433185
10.0,100.0,0.1085291600597215
15.0,10.0,0.588134616286284
15.0,15.0,0.4665809312339282
15.0,20.0,0.3533318278244945
15.0,25.0,0.2843664156091712
15.0,30.0,0.2984601749674164
15.0,35.0,0.2161897051281563
15.0,40.0,0.1826959878033073
15.0,45.0,0.1955849444840006
15.0,50.0,0.1923973065341518
15.0,55.0,0.184090543723064
15.0,60.0,0.1728728282338923
15.0,65.0,0.1568872566356152
15.0,70.0,0.1653805024683379
15.0,75.0,0.146594585683095
15.0,80.0,0.1325376362978181
15.0,85.0,0.1230065305243645
15.0,90.0,0.1133199103092433
15.0,95.0,0.1111180931497246
15.0,100.0,0.1136858581357147
20.0,10.0,0.5750786959329207
20.0,15.0,0.4339613573375294
20.0,20.0,0.3580677853417146
20.0,25.0,0.3252746157379178
20.0,30.0,0.2714024954407003
20.0,35.0,0.2309922356390702
20.0,40.0,0.1906687156017356
20.0,45.0,0.1806765052313116
20.0,50.0,0.1756113783847134
20.0,55.0,0.172739048332037
20.0,60.0,0.1686365872228593
20.0,65.0,0.1503992864035086
20.0,70.0,0.1377215491315011
20.0,75.0,0.1381468499511676
20.0,80.0,0.1299849940296095
20.0,85.0,0.1140134646248075
20.0,90.0,0.1257628206444068
20.0,95.0,0.1267971145891389
20.0,100.0,0.1257657618782272
25.0,10.0,0.5803253349796573
25.0,15.0,0.4690604839789629
25.0,20.0,0.4083889690719728
25.0,25.0,0.3264253085934696
25.0,30.0,0.2933092493517265
25.0,35.0,0.248155121449196
25.0,40.0,0.1940286484378678
25.0,45.0,0.1787102513641967
25.0,50.0,0.185820785772222
25.0,55.0,0.1574474004606144
25.0,60.0,0.1624148616365175
25.0,65.0,0.1464747674139869
25.0,70.0,0.1445644745764556
25.0,75.0,0.1396676919430481
25.0,80.0,0.124624244568464
25.0,85.0,0.128091161682646
25.0,90.0,0.1238234088774682
25.0,95.0,0.113416312946042
25.0,100.0,0.1199872673330106
30.0,10.0,0.5661695259820797
30.0,15.0,0.4537282401073617
30.0,20.0,0.4191002227512313
30.0,25.0,0.3086645132556047
30.0,30.0,0.2808660001807395
30.0,35.0,0.256477396905109
30.0,40.0,0.2068319169577367
30.0,45.0,0.1639669392500697
30.0,50.0,0.1590070365067308
30.0,55.0,0.1574700167649639
30.0,60.0,0.1478236867246405
30.0,65.0,0.1365987731473506
30.0,70.0,0.1364302327472429
30.0,75.0,0.1287523630120929
30.0,80.0,0.128438354617465
30.0,85.0,0.1137388871581006
30.0,90.0,0.1230084258500339
30.0,95.0,0.1137666321140608
30.0,100.0,0.1196528597419978
35.0,10.0,0.5514234236649297
35.0,15.0,0.4602768324076464
35.0,20.0,0.3992503935014614
35.0,25.0,0.3233157221013172
35.0,30.0,0.2964164404581136
35.0,35.0,0.2501132201593402
35.0,40.0,0.1983737160249858
35.0,45.0,0.1721945687085969
35.0,50.0,0.1567978574533688
35.0,55.0,0.1423937703327817
35.0,60.0,0.1416079601965268
35.0,65.0,0.1398667655760744
35.0,70.0,0.1296836445156935
35.0,75.0,0.1159020724783359
35.0,80.0,0.1176060917413067
35.0,85.0,0.1135009052345212
35.0,90.0,0.1107528508217215
35.0,95.0,0.1091271949617326
35.0,100.0,0.1033116251487549
40.0,10.0,0.5257742390967328
40.0,15.0,0.448637781702104
40.0,20.0,0.3969637353248849
40.0,25.0,0.3246124231290797
40.0,30.0,0.2569616850483237
40.0,35.0,0.2242693243430311
40.0,40.0,0.2124625121656545
40.0,45.0,0.1705205244662647
40.0,50.0,0.1470094464947454
40.0,55.0,0.1235290386283915
40.0,60.0,0.1270464279644824
40.0,65.0,0.1191301499616124
40.0,70.0,0.1208509273906081
40.0,75.0,0.1148583362272488
40.0,80.0,0.1172296922298844
40.0,85.0,0.1037213570193066
40.0,90.0,0.1037733734239309
40.0,95.0,0.1089579932344913
40.0,100.0,0.1068118488632255
45.0,10.0,0.4465615730797155
45.0,15.0,0.4180366998711748
45.0,20.0,0.380050423695066
45.0,25.0,0.2981227613510243
45.0,30.0,0.2360666691745213
45.0,35.0,0.219582459647838
45.0,40.0,0.1920913914240539
45.0,45.0,0.1654404543324301
45.0,50.0,0.142012928718438
45.0,55.0,0.1207935612208574
45.0,60.0,0.1159362596185055
45.0,65.0,0.1185570782313026
45.0,70.0,0.1088118535260891
45.0,75.0,0.1027701307243416
45.0,80.0,0.1023143869192721
45.0,85.0,0.1069870107161448
45.0,90.0,0.0952354155486243
45.0,95.0,0.0989782160053479
45.0,100.0,0.0946066842157236
